country,alum_survey,survey_year,consent,gep_id,school_graduation,year_program,same_residence,girl_age,n2_a1,n2_a2,n2_a3,n2_a4,n2_a5,n2_a6,n2_a7,n2_a8,n2_a9,n3_b1,n3_b2,n3_b3,n3_b4,n3_b5,n4_c1,n4_c2_a,n4_c2_b,n4_c2_c,n4_c2_d,n4_c2_e,n4_c2_f,n4_c2_g,n4_c2_h,n4_c2_i,n4_c2_j,n4_c2_k,n4_c3_a,n4_c3_b,n4_c3_c,n4_c3_d,n4_c3_e,n4_c3_f,n4_c3_g,n4_c3_h,n4_c3_i,n4_c3_j,n4_c3_k,n5_d1,n5_d2,n5_d3,n5_d4,n5_d5,n5_d6,n5_d7,n2_a4_KH,n2_a5_KH,n2_a4_NP,n2_a5_NP
Bangladesh,0,2023,Yes,BD-GEP-14-0029,2022,7,Yes,22,0,0,,,,,0,0,,Married,21,Yes,1,21,"No, never",,,,,,,,,,,,,,,,,,,,,,,0,Yes,Yes,Yes,Somewhat helpful,No,To a great extent,,,,
Bangladesh,0,2023,Yes,BD-GEP-14-0125,2021,7,0,22,0,0,,,,,0,0,,Married,18,Yes,1,21,"No, never",,,,,,,,,,,,,,,,,,,,,,,0,Yes,Yes,Yes,Somewhat helpful,No,To a great extent,,,,
Bangladesh,0,2023,Yes,BD-GEP-14-0245,2021,7,0,20,0,0,,,,,0,0,,Married,18,0,,,"No, never",,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,No,To a great extent,,,,
Bangladesh,0,2023,Yes,BD-GEP-14-0002,2022,7,Yes,20,Yes,Yes,,,University,Full time,0,0,,Never married,,,,,"No, never",,,,,,,,,,,,,,,,,,,,,,,0,0,Yes,Yes,Somewhat helpful,No,To some extent,,,,
Bangladesh,0,2023,Yes,BD-GEP-14-0224,2022,7,Yes,21,Yes,Yes,,,University,Full time,0,0,,Married,20,0,,,"No, never",,,,,,,,,,,,,,,,,,,,,,,0,0,Yes,Yes,Very helpful,No,To a great extent,,,,
Bangladesh,0,2023,Yes,BD-GEP-14-0146,2022,7,Yes,22,Yes,Yes,,,University,Full time,0,0,,Married,18,Yes,1,19,"No, never",,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,No,To a great extent,,,,
Bangladesh,0,2023,Yes,BD-GEP-14-0244,2022,7,0,21,0,0,,,,,Yes,0,Yes,Never married,,,,,0,No,No,Yes,Yes,Yes,No,No,No,No,No,No,,,Partially,Partially,Partially,,,,,,,0,Yes,Yes,0,,No,To some extent,,,,
Bangladesh,0,2023,Yes,BD-GEP-14-0190,2022,7,Yes,20,0,0,,,,,0,0,,Married,17,Yes,1,18,"No, never",,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,No,To some extent,,,,
Bangladesh,0,2023,Yes,BD-GEP-14-0214,2022,7,Yes,21,Yes,Yes,,,University,Full time,0,0,,Never married,,,,,0,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Partially,,Partially,No,,Partially,,Yes,,,Partially,0,0,0,Yes,Somewhat helpful,Yes,To a great extent,,,,
Bangladesh,0,2023,Yes,BD-GEP-14-0172,2022,7,Yes,21,Yes,Yes,,,University,Full time,0,0,,Never married,,,,,"No, never",,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Somewhat helpful,Yes,To a great extent,,,,
Bangladesh,0,2023,Yes,BD-GEP-14-0133,2021,7,Yes,21,Yes,Yes,,,University,Full time,0,0,,Married,21,0,,,"No, never",,,,,,,,,,,,,,,,,,,,,,,0,0,0,Yes,Somewhat helpful,No,To a great extent,,,,
Bangladesh,0,2023,Yes,BD-GEP-14-0014,2022,7,Yes,20,Yes,Yes,,,University,Full time,0,0,,Never married,,,,,"No, never",,,,,,,,,,,,,,,,,,,,,,,0,0,0,Yes,Somewhat helpful,No,To some extent,,,,
Bangladesh,0,2023,Yes,BD-GEP-14-0194,2022,4,0,21,Yes,Yes,,,Medical Degree,Full time,0,0,,Never married,,,,,"No, never",,,,,,,,,,,,,,,,,,,,,,,0,0,0,Yes,Somewhat helpful,No,To a great extent,,,,
Bangladesh,0,2023,Yes,BD-GEP-14-0181,2022,7,Yes,19,Yes,Yes,,,University,Full time,0,0,,Never married,,,,,"No, never",,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,No,To a great extent,,,,
Bangladesh,0,2024,Yes,BD-GEP-16-0602,2023,7,0,22,0,0,,,,,0,0,,Married,20,0,,,0,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,,Partially,Yes,No,,,,,,,Yes,0,Yes,Yes,Yes,4,Yes,To a great extent,,,,
Bangladesh,0,2024,Yes,BD-GEP-16-0256,2023,7,Yes,21,Yes,Yes,,,University,Full time,0,0,,Married,21,0,,,"No, never",,,,,,,,,,,,,,,,,,,,,,,0,Yes,Yes,Yes,Very helpful,Yes,To a great extent,,,,
Bangladesh,0,2024,Yes,BD-GEP-16-0550,2023,7,Yes,20,Yes,Yes,,,University,Full time,Yes,0,Yes,Never married,,,,,"No, never",,,,,,,,,,,,,,,,,,,,,,,0,Yes,Yes,Yes,4,Yes,To a great extent,,,,
Bangladesh,0,2024,Yes,BD-GEP-15-0113,2023,8,0,21,0,0,,,,,0,0,,Married,19,Yes,1,21,0,No,No,Yes,No,No,No,No,No,No,No,No,,,Yes,,,,,,,,,0,0,0,Yes,Somewhat helpful,Yes,To some extent,,,,
Bangladesh,0,2024,Yes,BD-GEP-16-0496,2023,7,Yes,20,0,0,,,,,Yes,0,Yes,Married,17,0,,,"yes, all the time",Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,,Yes,,,Yes,,Yes,Partially,,,0,Yes,Yes,Yes,4,Yes,To a great extent,,,,
Bangladesh,0,2024,Yes,BD-GEP-15-0102,2023,8,Yes,20,0,0,,,,,0,0,,Never married,,,,,"No, never",,,,,,,,,,,,,,,,,,,,,,,0,0,Yes,Yes,Somewhat helpful,Yes,To a great extent,,,,
Bangladesh,0,2024,Yes,BD-GEP-16-0219,2023,7,Yes,19,Yes,Yes,,,University,Full time,0,0,,Married,19,0,,,0,Yes,No,No,No,No,No,No,No,No,No,No,Yes,,,,,,,,,,,Yes,Yes,Yes,Yes,Somewhat helpful,Yes,To a great extent,,,,
Bangladesh,0,2024,Yes,BD-GEP-15-0145,2023,8,Yes,22,Yes,0,0,,,,0,0,,Never married,,,,,"No, never",,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,No,To some extent,,,,
Bangladesh,0,2024,Yes,BD-GEP-16-0504,2023,7,Yes,20,Yes,Yes,,,University,Full time,Yes,0,Yes,Never married,,,,,0,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,,,,,Yes,Yes,Yes,,,,0,Yes,Yes,Yes,4,Yes,To a great extent,,,,
Bangladesh,0,2024,Yes,BD-GEP-16-0543,2023,7,Yes,19,0,0,,,,,Yes,0,0,Never married,,,,,"No, never",,,,,,,,,,,,,,,,,,,,,,,0,Yes,Yes,Yes,4,Yes,To a great extent,,,,
